[char[] : Название группы, int : количество студентов, -.]
[char[] : Название магазина, int : Количество товаров, -.]
[char[] : ФИО студента, int : количество академических задолженностей, float : Рейтинг.]
[char[][] : Посещенные достопримечательности, -, -.]
[char[] : Фамилия И.О. студента, float : рейтинг, -.]
[char[] : Название предмета, int : кол-во занятий, double : сложность.]
[char[] : Название товара, double : стоимость, -.]
[char[] : Название книги, int : Количество страниц, double :  Рейтинг.]
[char[] : Страна, int : Население, bool : Пригодность для жизни.]
[char[] : Дата, int : температура, char[] : Время года.]
[int : Дата, float : курс индийских рупий, -.]
[char[] : Название спектакля, int : Цена билета, float[] : Рейтинг актеров.]
[char[] : Улица, int : Номер дома, -.]
[char[] : Кличка животного, int : Количество наград, -.]
[char[] : ФИО преподавателя, int : степень требовательности, -.]
[char[] : Название журнала, int : Количество страниц, -.]
[char[] : ФИО пациента, char : группа здоровья, -.]
[char[] : Название книги, int : год издания, char[] : Название издательства.]
[int : Номер маршрута, float : Номер билета, char[] : Название вокзала.]
[char[] : ФИО, int : балл ЕГЭ, -.]
[char[] : Наименование файла, int : размер, -.]
[char[] : Название комнатного цветка, float : Цена, -.]
[char[] : Наименование фильма, float : Длительность, -.]
[char[] : Наименование маршрута поезда, int : количество вагонов.]
[char[] : ФИО абитуриента, int : Суммарный балл ЕГЭ, -.]
[char[] : Наименование комплектующего, char : Категория, float : Цена.]
[char[] : Тип автомобиля, float : Грузоподъемность, char : Требуемая категория водителя.]
[char[] : Структура данных, -, -.]
[char[] : Язык программирования, int : Количество ключевых слов, float : Коэффициент сложности.]
